#Time(s) qlen(pkts) qlen(us)
4.00 70 840
4.01 70 840
4.02 69 828
4.03 69 828
4.04 68 816
4.05 70 840
4.06 69 828
4.07 68 816
4.08 68 816
4.09 68 816
4.10 67 804
4.11 67 804
4.12 67 804
4.13 66 792
4.14 65 780
4.15 65 780
4.16 64 768
4.17 64 768
4.18 64 768
4.19 64 768
4.20 64 768
4.21 64 768
4.22 63 756
4.23 64 768
4.24 63 756
4.25 63 756
4.26 62 744
4.27 62 744
4.28 61 732
4.29 61 732
4.30 60 720
4.31 59 708
4.32 59 708
4.33 59 708
4.34 57 684
4.35 58 696
4.36 59 708
4.37 59 708
4.38 59 708
4.39 59 708
4.40 58 696
4.41 59 708
4.42 59 708
4.43 59 708
4.44 59 708
4.45 58 696
4.46 58 696
4.47 59 708
4.48 59 708
4.49 59 708
4.50 59 708
4.51 58 696
4.52 58 696
4.53 58 696
4.54 58 696
4.55 58 696
4.56 58 696
4.57 57 684
4.58 57 684
4.59 58 696
4.60 57 684
4.61 57 684
4.62 57 684
4.63 56 672
4.64 56 672
4.65 55 660
4.66 55 660
4.67 54 648
4.68 53 636
4.69 52 624
4.70 53 636
4.71 53 636
4.72 52 624
4.73 51 612
4.74 51 612
4.75 49 588
4.76 50 600
4.77 50 600
4.78 49 588
4.79 49 588
4.80 48 576
4.81 47 564
4.82 47 564
4.83 47 564
4.84 47 564
4.85 47 564
4.86 47 564
4.87 46 552
4.88 48 576
4.89 48 576
4.90 48 576
4.91 48 576
4.92 48 576
4.93 47 564
4.94 48 576
4.95 49 588
4.96 49 588
4.97 50 600
4.98 50 600
4.99 49 588
5.00 50 600
